Rank,Team,LatestPPG,LatestGamesConsidered
1,NishantRaghav,2.4,10
2,GaganRaghav,2.1,10
3,AnkurNishant,1.8,10
4,AnkurRaghav,1.8,10
5,RaghavRudra,1.5714,7
6,NishantRudra,1.5,10
7,AnkurGagan,1.3,10
8,AnkurRudra,1.3,10
9,GaganRudra,1.1,10
10,GaganNishant,0.9,10
11,AbhiGagan,0.6,10
12,AbhiNishant,0.5,6
13,AbhiRaghav,0.4,10
14,AbhiAnkur,0.375,8
