HomeTeam,HG,AG,AwayTeam
AbhiRaghav,2,4,AnkurGagan
AbhiAnkur,3,4,GaganRaghav
AnkurNishant,3,2,GaganRaghav
AbhiRaghav,1,2,AnkurGagan
AbhiAnkur,3,0,GaganNishant
AbhiGagan,1,3,NishantRaghav
AbhiNishant,1,3,AnkurRaghav
AnkurGagan,1,2,NishantRaghav
AbhiAnkur,1,4,GaganRaghav
AbhiGagan,1,3,AnkurNishant
AbhiNishant,1,0,AnkurGagan
AbhiRaghav,0,4,AnkurNishant
AbhiAnkur,0,2,NishantRaghav
AnkurRaghav,1,2,GaganNishant
AbhiRaghav,0,2,AnkurGagan
AbhiGagan,2,4,AnkurNishant
AbhiNishant,0,4,GaganRaghav
AbhiRaghav,2,1,GaganNishant
AnkurRaghav,3,0,GaganNishant
AnkurNishant,1,2,GaganRaghav
AnkurGagan,1,3,NishantRaghav
AnkurRaghav,0,5,GaganNishant
AnkurNishant,2,0,GaganRaghav
AnkurGagan,1,2,NishantRaghav
